campaign	peers	attempt	order	base_median_ns	head_median_ns	delta_percent	base_ci_low_ns	base_ci_high_ns	head_ci_low_ns	head_ci_high_ns
02-metrics-target	256	3	base-head	1276187.596052096225321	1083964.619047618936747	-15.062282191044773	1269974.293269230751321	1283227.489743589656428	1079370.464285714086145	1087206.928571428637952
02-metrics-target	256	4	head-base	1265809.536324786487967	1074992.338246409781277	-15.074716424747811	1261542.205128205241635	1271577.201923076994717	1073268.801587301539257	1079466.341269841184840
02-metrics-target	256	5	base-head	1275617.134615384507924	1077408.579861111007631	-15.538248066418141	1267823.078062678221613	1279232.632478632498533	1072212.011904761893675	1079843.658730158815160
02-metrics-target	256	6	head-base	1266991.536752136889845	1076399.087499999906868	-15.042914157162427	1261053.333333333255723	1271844.044159544166178	1070172.483333333395422	1080140.064625850412995
02-metrics-target	1000	1	base-head	5013285.417857143096626	4282559.225555555894971	-14.575794741284161	4966059.683333333581686	5068125.570000000298023	4246007.843750000000000	4336554.060714285820723
02-metrics-target	1000	2	head-base	4998543.724999999627471	4302218.792207792401314	-13.930555999931906	4964035.300000000745058	5070809.822222222574055	4289736.821969697251916	4324397.027272727340460
02-metrics-target	1000	3	base-head	5019584.831111110746861	4291097.543290043249726	-14.512899220388572	4984659.424999999813735	5069749.000000000000000	4260929.336363635957241	4305647.915909091010690
02-metrics-target	1000	4	head-base	5007029.765000000596046	4264228.687500000000000	-14.835164006659355	4975131.450000000186265	5025253.233333333395422	4239821.886363636702299	4285440.545454545877874
02-metrics-target	1000	5	base-head	5011775.681250000372529	4272945.679292929358780	-14.741880901038201	4969083.849999999627471	5028235.838095238432288	4243401.974999999627471	4353883.459415584802628
02-metrics-target	1000	6	head-base	4981502.470833333209157	4261464.757575757801533	-14.454227765084768	4967868.900000000372529	5019706.333333333022892	4236372.181818181648850	4278590.207792207598686
03-otc-control	1	1	base-head	31129.577793727912649	30793.795503807850764	-1.078659955316568	30797.940665488811646	31290.293664815748343	30611.146748681898316	30935.374462995507201
03-otc-control	1	2	head-base	30962.187187812189222	30989.405544278102752	0.087908377728004	30915.300335081585217	31039.356604506603617	30759.697195085849671	31168.556246299584018
03-otc-control	1	3	base-head	30722.998830409356742	30906.616126205084583	0.597654209503745	30623.517670565299341	31022.970175438596925	30860.497867367805156	31142.581211656441155
03-otc-control	1	4	head-base	31156.263272410789796	30865.613854073410039	-0.932876371585783	30979.697272991004866	31372.132724107919785	30786.188786929273192	31350.714811499055941
03-otc-control	1	5	base-head	30784.065619546250673	31113.108519118199183	1.068874084529705	30633.845331588134286	30995.543969362031930	31016.347476508766704	31235.970444638187473
03-otc-control	1	6	head-base	31266.076119402983750	31344.871995263471035	0.252017156100981	31060.661712446169986	31378.753292361721833	31120.477886323267739	32049.227480334939173
03-otc-control	8	1	base-head	59030.785611362698546	58208.008498583571054	-1.393810203028626	58609.599513688765001	59787.425432276650099	57640.422096317277465	58393.410441116953734
03-otc-control	8	2	head-base	58804.020171673822915	58519.214662555670657	-0.484329996974160	58253.533261802578636	58939.828326180257136	58130.594724220623903	58935.620845323741378
03-otc-control	8	3	base-head	57931.758333333331393	59400.563302425107395	2.535405469035524	57748.155113636363239	58767.846590909088263	59012.732762719926541	59858.037395557366835
03-otc-control	8	4	head-base	59332.065739419878810	58185.040764790763205	-1.933229460890048	58970.144436519258306	59684.029671897289518	57905.418202432483668	58479.185365560362698
03-otc-control	8	5	base-head	58072.984128393305582	58814.864864864866831	1.277497183253646	57739.001526988635305	58684.688108766233199	58323.969736842103885	59250.670392196712783
03-otc-control	8	6	head-base	58955.707899305554747	59087.822349570204096	0.224091025232530	58723.813286323056673	59508.484552556816197	58666.262655205347983	59327.049188156641321
03-otc-control	64	1	base-head	286423.113853503193241	283017.479861111089122	-1.189022054321350	284825.366696997254621	287451.562632696412038	282258.617499999993015	284048.945312500000000
03-otc-control	64	2	head-base	284698.402953586482909	283592.318658280884847	-0.388510888656414	284079.989556962042116	285669.027426160348114	283022.754088050336577	284542.575247079948895
03-otc-control	64	3	base-head	282800.548913043458015	289340.119831223622896	2.312432187036163	281555.390062111779116	284673.000000000000000	288569.221202531654853	290219.519552441197447
03-otc-control	64	4	head-base	286415.283623417722993	287113.191963661811315	0.243670076336327	285977.422257383936085	287319.571729957824573	286463.399921383650508	287751.408805031445809
03-otc-control	64	5	base-head	283640.462065972213168	282854.166037735878490	-0.277215747890528	282047.147916666639503	284850.593750000000000	281898.205750224646181	284361.453878406726290
03-otc-control	64	6	head-base	286588.984704641334247	285720.002373417722993	-0.303215537791581	286092.369462025293615	288750.820253164565656	284989.398496835492551	287116.968881856533699
03-otc-control	256	1	base-head	1084354.892857142724097	1065429.209302325733006	-1.745340356693566	1080672.726190476212651	1088541.435119047760963	1061785.797674418659881	1067614.788759689778090
03-otc-control	256	2	head-base	1076112.936224489938468	1069406.848837209399790	-0.623176914015052	1070247.164880952332169	1081067.708333333488554	1066849.638242894085124	1072445.039867109619081
03-otc-control	256	3	base-head	1065299.931395348627120	1096758.332539682742208	2.953008839785557	1060824.972222222015262	1068270.561461793957278	1094363.600765306036919	1102342.347619047621265
03-otc-control	256	4	head-base	1083532.247354497201741	1086555.003968253964558	0.278972464468592	1079691.400510204024613	1087229.300000000046566	1081436.574074074160308	1092420.363945578224957
03-otc-control	256	5	base-head	1070437.085271317744628	1067518.175387596711516	-0.272683927330600	1062641.681847545318305	1074397.364341085311025	1064103.060465116286650	1073171.728682170622051
03-otc-control	256	6	head-base	1080459.798280423274264	1083913.902380952378735	0.319688349906807	1076099.051020408049226	1086506.052380952285603	1081761.148809523787349	1086813.150793650886044
03-otc-control	1000	1	base-head	4258777.215909090824425	4216758.338961038738489	-0.986641818010258	4239034.087878787890077	4289341.378787878900766	4202660.954545454122126	4236477.375000000000000
03-otc-control	1000	2	head-base	4229647.308712121099234	4236103.207954545505345	0.152634457939949	4214916.422077922150493	4239798.694444444030523	4199963.623376623727381	4251024.634343434125185
03-otc-control	1000	3	base-head	4216503.791666666977108	4300944.054112553596497	2.002613222185903	4176746.502499999944121	4243308.931250000372529	4284783.606060606427491	4331718.411363637074828
03-otc-control	1000	4	head-base	4251334.704545455053449	4278870.748917749151587	0.647703516329896	4237493.170454544946551	4270305.743939394131303	4254348.090909090824425	4307521.494318181648850
03-otc-control	1000	5	base-head	4202552.506493506953120	4221259.233766233548522	0.445127746621183	4196218.125000000000000	4214088.085227273404598	4213124.454545454122126	4235011.484848484396935
03-otc-control	1000	6	head-base	4273110.022727273404598	4274642.117857143282890	0.035854333769109	4260536.116883116774261	4291295.742424242198467	4250123.138888888992369	4324503.599999999627471
04-otc-target	1	1	base-head	31098.877803174604196	28748.896206308610999	-7.556483586768217	30999.430311111111223	31316.190370370371966	28626.164407502132235	28945.450895140664215
04-otc-target	1	2	head-base	31209.899600399599876	29129.109573752444703	-6.667083371907141	31045.601107226106251	31354.922312062935816	29029.771297089042491	29268.277611301367870
04-otc-target	1	3	base-head	31240.354066852753022	28865.335683942226751	-7.602405458747712	30988.282152230971406	31446.272965879266849	28793.180756159730663	28987.004337770224083
04-otc-target	1	4	head-base	31294.347749338041467	28835.672583404619218	-7.856610994505964	31040.600882612532587	31438.162731685792096	28753.506201881951711	28897.667179925862001
04-otc-target	1	5	base-head	30990.322158924918767	29083.001864601261332	-6.154567495434595	30818.136787905346864	31217.562664329536346	28841.666092943200056	29137.612134251292446
04-otc-target	1	6	head-base	30992.456548144877161	28764.738977258981322	-7.187934804152338	30911.833890711761342	31117.815680212013831	28628.225232853514171	28912.242661586227769
04-otc-target	8	1	base-head	59016.354403555924364	43634.596872376154352	-26.063550835415494	58560.435126226075226	59579.212554269179236	43281.739987405540887	44184.880667506295140
04-otc-target	8	2	head-base	58479.654444050989696	43774.278422053233953	-25.146140417205736	58130.943814919737633	58987.573013624714804	43331.256653992400970	44482.624388919066405
04-otc-target	8	3	base-head	59256.834523809520761	44055.081805731140776	-25.654007407314822	58455.846760204076418	59559.811000000001513	43498.261974996486970	44307.309481668773515
