ts_unix,elapsed_sec,pe1_rss_mb,pe2_rss_mb,pe1_df_role,pe2_df_role,pe1_df_changes,pe2_df_changes,pe1_bum_flags,pe2_bum_flags,pe2_running
1778436467,9776,13.2227,11.8906,NaN,NaN,NaN,NaN,df,df,1
1778436528,9837,13.2227,11.8906,NaN,NaN,NaN,NaN,df,df,1
1778436588,9897,13.2227,12.7695,NaN,NaN,NaN,NaN,df,df,1
1778436649,9958,13.2227,12.7695,NaN,NaN,NaN,NaN,df,df,1
1778436709,10018,13.2227,12.7695,NaN,NaN,NaN,NaN,df,df,1
1778436769,10078,13.2227,12.7695,NaN,NaN,NaN,NaN,df,df,1
1778436830,10139,13.2227,12.7695,NaN,NaN,NaN,NaN,df,df,1
1778436890,10199,13.2227,12.7695,NaN,NaN,NaN,NaN,df,df,1
1778436951,10260,13.2227,12.7695,NaN,NaN,NaN,NaN,df,df,1
1778437011,10320,13.2227,12.7695,NaN,NaN,NaN,NaN,df,df,1
1778437077,10386,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778437137,10446,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778437198,10507,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778437258,10567,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778437318,10627,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778437379,10688,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778437439,10748,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778437499,10808,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778437560,10869,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778437620,10929,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778437682,10991,13.2227,10.2617,NaN,NaN,NaN,NaN,df,df,1
1778437742,11051,13.2227,10.2617,NaN,NaN,NaN,NaN,df,df,1
1778437803,11112,13.2227,10.8086,NaN,NaN,NaN,NaN,df,df,1
1778437863,11172,13.2227,10.8086,NaN,NaN,NaN,NaN,df,df,1
1778437924,11233,13.2227,10.8086,NaN,NaN,NaN,NaN,df,df,1
1778437984,11293,13.2227,10.8086,NaN,NaN,NaN,NaN,df,df,1
1778438044,11353,13.2227,11.832,NaN,NaN,NaN,NaN,df,df,1
1778438105,11414,13.2227,11.832,NaN,NaN,NaN,NaN,df,df,1
1778438165,11474,13.2227,11.832,NaN,NaN,NaN,NaN,df,df,1
1778438226,11535,13.2227,11.832,NaN,NaN,NaN,NaN,df,df,1
1778438292,11601,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778438352,11661,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778438412,11721,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778438473,11782,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778438533,11842,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778438593,11902,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778438654,11963,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778438714,12023,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778438774,12083,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778438835,12144,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778438896,12205,13.2227,10.9766,NaN,NaN,NaN,NaN,df,df,1
1778438957,12266,13.2227,10.9766,NaN,NaN,NaN,NaN,df,df,1
1778439017,12326,13.2227,10.9766,NaN,NaN,NaN,NaN,df,df,1
1778439078,12387,13.2227,10.9766,NaN,NaN,NaN,NaN,df,df,1
1778439138,12447,13.2227,10.9766,NaN,NaN,NaN,NaN,df,df,1
1778439199,12508,13.2227,10.9766,NaN,NaN,NaN,NaN,df,df,1
1778439259,12568,13.2227,10.9766,NaN,NaN,NaN,NaN,df,df,1
1778439320,12629,13.2227,10.9766,NaN,NaN,NaN,NaN,df,df,1
1778439380,12689,13.2227,10.9766,NaN,NaN,NaN,NaN,df,df,1
1778439441,12750,13.9453,10.9766,NaN,NaN,NaN,NaN,df,df,1
1778439506,12815,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778439567,12876,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778439627,12936,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778439687,12996,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778439748,13057,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778439808,13117,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778439868,13177,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778439929,13238,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778439989,13298,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778440050,13359,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778440111,13420,13.9453,11.1367,NaN,NaN,NaN,NaN,df,df,1
1778440172,13481,13.9453,11.1367,NaN,NaN,NaN,NaN,df,df,1
1778440232,13541,13.9453,11.1367,NaN,NaN,NaN,NaN,df,df,1
1778440293,13602,13.9453,11.1367,NaN,NaN,NaN,NaN,df,df,1
1778440353,13662,13.9453,11.1367,NaN,NaN,NaN,NaN,df,df,1
1778440414,13723,13.9453,11.1367,NaN,NaN,NaN,NaN,df,df,1
1778440474,13783,13.9453,11.8008,NaN,NaN,NaN,NaN,df,df,1
1778440534,13843,13.9453,11.8008,NaN,NaN,NaN,NaN,df,df,1
1778440595,13904,13.9453,11.8008,NaN,NaN,NaN,NaN,df,df,1
1778440655,13964,13.9453,11.8008,NaN,NaN,NaN,NaN,df,df,1
1778440721,14030,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778440781,14090,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778440842,14151,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778440902,14211,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778440962,14271,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778441023,14332,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778441083,14392,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778441143,14452,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778441204,14513,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778441264,14573,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778441326,14635,13.9453,11.3867,NaN,NaN,NaN,NaN,df,df,1
1778441386,14695,13.9453,11.3867,NaN,NaN,NaN,NaN,df,df,1
1778441447,14756,13.9453,11.3867,NaN,NaN,NaN,NaN,df,df,1
1778441507,14816,13.9453,11.3867,NaN,NaN,NaN,NaN,df,df,1
1778441568,14877,13.9453,11.3867,NaN,NaN,NaN,NaN,df,df,1
1778441628,14937,13.9453,11.3867,NaN,NaN,NaN,NaN,df,df,1
