variant,commit,harness_sha256,scope,routes,page_size,repetition,pair_order,run_position,pages,rows,ordered_key_checksum,complete_ns,page_p50_ns,page_p99_ns,page_max_ns,rows_per_second
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,1000,4,optimized-first,first,400,400000,3c97049795114185,1365960644,3586282,3888976,4004049,292834.206
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,1000,4,optimized-first,second,400,400000,3c97049795114185,1344128268,3540803,3842036,3900964,297590.646
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,1000,1,optimized-first,first,375,375000,b1ffaae113b30515,1246305518,3356467,4328436,4364320,300889.304
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,1000,1,optimized-first,second,375,375000,b1ffaae113b30515,9962972541,26515801,29269381,29979960,37639.369
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,1000,2,baseline-first,first,375,375000,b1ffaae113b30515,9999350844,26576370,29772045,30604814,37502.434
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,1000,2,baseline-first,second,375,375000,b1ffaae113b30515,1242534368,3378349,3990608,4025981,301802.517
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,1000,3,optimized-first,first,375,375000,b1ffaae113b30515,1236218223,3369897,3983177,4031049,303344.501
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,1000,3,optimized-first,second,375,375000,b1ffaae113b30515,10078180069,26755005,30187375,30670239,37209.099
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,1000,4,baseline-first,first,375,375000,b1ffaae113b30515,10043494365,26641483,30727423,32637870,37337.602
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,1000,4,baseline-first,second,375,375000,b1ffaae113b30515,1235945383,3364137,3998329,4035555,303411.466
