monotonic_seconds	utc	http_code	time_seconds
1348461.31	2026-07-20T03:25:56.940Z	200	0.006035
1348461.42	2026-07-20T03:25:57.051Z	200	0.001359
1348461.53	2026-07-20T03:25:57.164Z	200	0.001333
1348461.65	2026-07-20T03:25:57.276Z	200	0.001194
1348461.78	2026-07-20T03:25:57.414Z	200	0.026935
1348461.90	2026-07-20T03:25:57.526Z	200	0.001947
1348462.01	2026-07-20T03:25:57.638Z	200	0.001425
1348462.12	2026-07-20T03:25:57.750Z	200	0.001668
1348462.23	2026-07-20T03:25:57.862Z	200	0.001457
1348462.35	2026-07-20T03:25:57.979Z	200	0.006682
1348462.46	2026-07-20T03:25:58.091Z	200	0.001406
1348462.57	2026-07-20T03:25:58.204Z	200	0.002250
1348462.69	2026-07-20T03:25:58.317Z	200	0.002621
1348462.80	2026-07-20T03:25:58.429Z	200	0.001491
1348462.93	2026-07-20T03:25:58.562Z	200	0.022378
1348463.04	2026-07-20T03:25:58.675Z	200	0.001763
1348463.16	2026-07-20T03:25:58.788Z	200	0.001247
1348463.27	2026-07-20T03:25:58.900Z	200	0.002035
1348463.38	2026-07-20T03:25:59.013Z	200	0.001626
1348463.50	2026-07-20T03:25:59.128Z	200	0.005054
1348463.61	2026-07-20T03:25:59.241Z	200	0.001145
1348463.72	2026-07-20T03:25:59.353Z	200	0.001140
1348463.84	2026-07-20T03:25:59.466Z	200	0.002198
1348463.95	2026-07-20T03:25:59.578Z	200	0.001752
1348464.09	2026-07-20T03:25:59.716Z	200	0.027001
1348464.20	2026-07-20T03:25:59.829Z	200	0.001750
1348464.31	2026-07-20T03:25:59.941Z	200	0.001578
1348464.43	2026-07-20T03:26:00.059Z	200	0.006644
1348464.54	2026-07-20T03:26:00.172Z	200	0.001371
1348464.66	2026-07-20T03:26:00.293Z	200	0.010458
1348464.78	2026-07-20T03:26:00.408Z	200	0.003925
1348464.89	2026-07-20T03:26:00.519Z	200	0.001479
1348465.00	2026-07-20T03:26:00.631Z	200	0.002234
1348465.11	2026-07-20T03:26:00.744Z	200	0.002564
1348465.23	2026-07-20T03:26:00.863Z	200	0.007847
1348465.34	2026-07-20T03:26:00.975Z	200	0.001700
1348465.46	2026-07-20T03:26:01.088Z	200	0.001370
1348465.57	2026-07-20T03:26:01.200Z	200	0.001660
1348465.69	2026-07-20T03:26:01.318Z	200	0.007205
1348465.81	2026-07-20T03:26:01.436Z	200	0.007486
1348465.92	2026-07-20T03:26:01.555Z	200	0.007791
1348466.04	2026-07-20T03:26:01.667Z	200	0.001833
1348466.15	2026-07-20T03:26:01.780Z	200	0.002055
1348466.26	2026-07-20T03:26:01.892Z	200	0.002005
1348466.38	2026-07-20T03:26:02.012Z	200	0.008836
1348466.49	2026-07-20T03:26:02.125Z	200	0.002027
1348466.61	2026-07-20T03:26:02.238Z	200	0.002708
1348466.72	2026-07-20T03:26:02.352Z	200	0.002372
1348466.84	2026-07-20T03:26:02.470Z	200	0.007699
1348466.95	2026-07-20T03:26:02.583Z	200	0.001944
1348467.06	2026-07-20T03:26:02.695Z	200	0.001925
1348467.19	2026-07-20T03:26:02.816Z	200	0.009903
1348467.30	2026-07-20T03:26:02.929Z	200	0.002802
1348467.41	2026-07-20T03:26:03.043Z	200	0.002356
1348467.53	2026-07-20T03:26:03.162Z	200	0.008280
1348467.64	2026-07-20T03:26:03.275Z	200	0.001391
1348467.76	2026-07-20T03:26:03.387Z	200	0.001244
1348467.87	2026-07-20T03:26:03.498Z	200	0.001921
1348467.98	2026-07-20T03:26:03.610Z	200	0.001374
