campaign	peers	attempt	order	base_median_ns	head_median_ns	delta_percent	base_ci_low_ns	base_ci_high_ns	head_ci_low_ns	head_ci_high_ns
same_sha	256	1	base-head	1266759.8637820515	1265441.1064814813	-0.104104758784573	1263701.7692307692	1272846.576923077	1262010.5192307692	1268536.286019536
same_sha	256	2	head-base	1275551.75	1271836.3987179487	-0.291274053134360	1265360.4871794872	1282619.8794871795	1269967.216880342	1277740.6807081806
same_sha	256	3	base-head	1282724.3956043958	1272846.7916666667	-0.770048809516477	1265725.6025641025	1285254.8525641025	1266837.725071225	1276902.1384615384
same_sha	256	4	head-base	1271961.4716117217	1272008.4291819292	0.003691744699474	1263900.4846153846	1278945.1282051282	1265952.0256410257	1282859.7336182336
same_sha	256	5	base-head	1270824.2282763533	1279021.9424908424	0.645070658245772	1267213.483974359	1273116.2512820512	1273175.2307692308	1281695.6051282051
same_sha	256	6	head-base	1285253.7615384615	1265081.0995726497	-1.569547008496208	1275373.4935897435	1293429.25	1258643.6102564102	1270796.9118589745
same_sha	1000	1	base-head	4984082.587142857	4968234.575	-0.317972502777919	4961889.09375	5005982.463333333	4948520.550892857	5000735.818333333
same_sha	1000	2	head-base	4989386.0725	5018440.096666667	0.582316616603462	4981888.9	5003532.26	4985477.775	5069465.24
same_sha	1000	3	base-head	5008776.199999999	5021972.4375	0.263462310414275	4988721.233333333	5062346.1875	4996055.791666666	5058343.4975000005
same_sha	1000	4	head-base	4988123.9625	5022946.625	0.698111409455571	4969975.65	5017236.686111111	4996153.4	5042246.825
same_sha	1000	5	base-head	4991098.15	5008700.935714286	0.352683621625149	4946639.35	5009878.85	4989327.816666666	5037792.767777778
same_sha	1000	6	head-base	5043146.844285714	4954058.357142857	-1.766525740645475	5003500.6	5062368.775	4929433.550000001	4977839.1325
before_after	1	1	base-head	30406.08949275362	31371.721289752648	3.175784236342372	30201.067391304347	30537.649202898552	31204.350890753827	31484.45046693589
before_after	1	2	head-base	30827.005970149254	31162.820386510044	1.089351384581327	30616.29587357331	30907.63183557005	30897.509084880636	31362.117103841243
before_after	1	3	base-head	30636.275999501806	31001.650410872313	1.192620184569582	30399.345975007265	30716.320836966	30667.810619469026	31064.47539823009
before_after	1	4	head-base	30818.719437115215	30475.170800696258	-1.114740140712067	30707.833948988566	31026.556508355323	30305.557876414274	30643.36597040905
before_after	1	5	base-head	30827.561787905346	30707.732127192983	-0.388709498132855	30740.538513974097	31118.772142231122	30135.582675438596	30761.87069322612
before_after	1	6	head-base	30744.38349429324	30734.89553782506	-0.030860779725639	30615.921976253187	30866.268217734854	30424.157118055555	31092.151507092196
before_after	8	1	base-head	63661.2201203429	59639.40112386418	-6.317533639594108	63137.523553412466	64459.53649851632	58660.80200860832	59912.27693687231
before_after	8	2	head-base	64337.4202184622	58566.61135371179	-8.969599410662132	63955.59476511744	64551.863318340824	58147.51374737182	58964.77729257642
before_after	8	3	base-head	63403.130580357145	58536.5162477008	-7.675668832295901	62664.67261904762	63805.07440476191	58103.12374821173	58767.38626609442
before_after	8	4	head-base	63516.60864661654	58022.57456140351	-8.649759806572565	63020.59732664996	64573.95338345865	57366.24751066856	58364.37919630157
before_after	8	5	base-head	63880.83969907407	58414.15465337132	-8.557628659007733	63319.72854662698	64484.80997023809	57761.91168091168	58621.7213743047
before_after	8	6	head-base	63978.6539800995	58360.019324712644	-8.782045738465404	63557.13917910448	64385.34867803838	58048.132423371644	59190.409073674964
before_after	64	1	base-head	334186.1540060468	283632.18081761006	-15.127488850876214	331685.33624878526	335079.4081632653	282074.6019766397	283810.7783018868
before_after	64	2	head-base	333902.98630136985	280575.86953125	-15.970841519215572	332739.22994129156	336367.8698630137	280009.66482638894	281069.95989583334
before_after	64	3	base-head	330256.7413265306	281803.534375	-14.671375596122671	329526.91069538926	331478.01919339166	280181.39694940473	282628.19765625
before_after	64	4	head-base	330258.04535147396	280031.4280538303	-15.208294848408755	329703.0760109599	331302.5813492064	278548.45541259984	280391.47360248445
before_after	64	5	base-head	331537.06666666665	279364.3881987578	-15.736604957165834	330533.93378995435	333678.10102739726	278644.00616188505	282279.4635093168
before_after	64	6	head-base	334039.8839897261	281233.49326145556	-15.808408893440596	331427.4390410959	337800.2979452055	280823.7662473795	282327.7887840671
before_after	256	1	base-head	1273772.0025641024	1065252.5333333332	-16.370234925168681	1269962.3776709402	1287047.4951159952	1061246.8906976744	1077135.8449612404
before_after	256	2	head-base	1273423.5726495727	1057827.6362126246	-16.930418210208277	1269253.8717948718	1277185.4538461538	1053386.1472868216	1063763.6434108526
before_after	256	3	base-head	1263995.4397435898	1061924.1251384276	-15.986712313309759	1257671.4615384615	1270037.4914529915	1055136.1325581395	1065103.0029069767
before_after	256	4	head-base	1263016.751068376	1056741.3488372094	-16.331960922662336	1258087.8827838828	1265214.0675213675	1050419.6744186047	1060780.1343023255
before_after	256	5	base-head	1265086.597985348	1057527.6395348837	-16.406699650522128	1262383.485576923	1278010.3908831908	1051485.3795681065	1058812.827616279
before_after	256	6	head-base	1262126.8379120878	1061793.863372093	-15.872649920938354	1256210.0797720798	1271926.52991453	1057648.234237726	1064388.1317829457
before_after	1000	1	base-head	4982900.445714286	4234869.996753247	-15.011948504899541	4962439.575	5054140.108333333	4184173.515151515	4255468.509090909
before_after	1000	2	head-base	5003585.636666667	4183898.211688312	-16.382000519220085	4984557.9	5052447.13	4164293.090909091	4218840.30909091
before_after	1000	3	base-head	4972053.176666666	4190450.5757575757	-15.719916363265597	4955487.921428571	5004266.255555555	4183357.2954545454	4197414.153679654
before_after	1000	4	head-base	4988071.963492064	4163993.359848485	-16.520984654492743	4917242.066666666	5017396.933333334	4159010.6886363635	4203490.701298702
before_after	1000	5	base-head	4982495.541666667	4177430.7616883116	-16.157862525834943	4973836.5600000005	5014932.926190476	4164777.284090909	4199327.409090909
before_after	1000	6	head-base	4985455.469047619	4198893.218181819	-15.777139235305594	4959706.26	4998421.81125	4185424.0	4233563.004329004
