run,revision,routes,peers,sample_index,iterations,total_time_ns,time_per_iteration_ns
parent-b,parent,64,8,6,2250.0,135620663.0,60275.85022222222
parent-b,parent,64,8,7,2625.0,156897920.0,59770.63619047619
parent-b,parent,64,8,8,3000.0,177976005.0,59325.335
parent-b,parent,64,8,9,3375.0,203574987.0,60318.51466666667
parent-b,parent,64,8,10,3750.0,228330113.0,60888.030133333334
parent-b,parent,64,64,1,76.0,13117888.0,172603.7894736842
parent-b,parent,64,64,2,152.0,26028807.0,171242.15131578947
parent-b,parent,64,64,3,228.0,39255027.0,172171.17105263157
parent-b,parent,64,64,4,304.0,50784385.0,167053.8980263158
parent-b,parent,64,64,5,380.0,64104440.0,168695.8947368421
parent-b,parent,64,64,6,456.0,75894313.0,166434.89692982455
parent-b,parent,64,64,7,532.0,88033402.0,165476.31954887218
parent-b,parent,64,64,8,608.0,100155287.0,164729.09046052632
parent-b,parent,64,64,9,684.0,115005205.0,168136.26461988303
parent-b,parent,64,64,10,760.0,125868365.0,165616.2697368421
parent-b,parent,64,256,1,20.0,10889941.0,544497.05
parent-b,parent,64,256,2,40.0,22058013.0,551450.325
parent-b,parent,64,256,3,60.0,33826753.0,563779.2166666667
parent-b,parent,64,256,4,80.0,45488810.0,568610.125
parent-b,parent,64,256,5,100.0,56747405.0,567474.05
parent-b,parent,64,256,6,120.0,66366558.0,553054.65
parent-b,parent,64,256,7,140.0,77425245.0,553037.4642857143
parent-b,parent,64,256,8,160.0,88307294.0,551920.5875
parent-b,parent,64,256,9,180.0,98199291.0,545551.6166666667
parent-b,parent,64,256,10,200.0,109384161.0,546920.805
parent-b,parent,64,1000,1,5.0,12003621.0,2400724.2
parent-b,parent,64,1000,2,10.0,24986327.0,2498632.7
parent-b,parent,64,1000,3,15.0,33642222.0,2242814.8
parent-b,parent,64,1000,4,20.0,44196766.0,2209838.3
parent-b,parent,64,1000,5,25.0,55314570.0,2212582.8
parent-b,parent,64,1000,6,30.0,65555570.0,2185185.6666666665
parent-b,parent,64,1000,7,35.0,77225095.0,2206431.285714286
parent-b,parent,64,1000,8,40.0,88487093.0,2212177.325
parent-b,parent,64,1000,9,45.0,107929477.0,2398432.822222222
parent-b,parent,64,1000,10,50.0,113866656.0,2277333.12
