timestamp,elapsed_sec,rss_mb,live_target_macs,local_fdb_count,frr_type2_count,bgp_established,churn_cycles,mac_add_total,mac_del_total,originations_inject,originations_withdraw,origination_errors_inject,origination_errors_withdraw,observation_drops_total,duplicate_mac_moves_total
2026-05-18T03:12:16Z,4826,21.828,1024,2048,1024,1,960,25024,24000,25028,24004,0,0,0,0
2026-05-18T03:13:17Z,4886,21.828,1024,2048,1024,1,972,25324,24300,25328,24304,0,0,0,0
2026-05-18T03:14:17Z,4947,21.828,1024,2048,1024,1,984,25624,24600,25628,24604,0,0,0,0
2026-05-18T03:15:17Z,5007,21.828,1024,2048,1024,1,996,25924,24900,25928,24904,0,0,0,0
2026-05-18T03:16:17Z,5067,21.828,1024,2048,1024,1,1008,26224,25200,26228,25204,0,0,0,0
2026-05-18T03:17:17Z,5127,21.828,1024,2048,1024,1,1020,26524,25500,26528,25504,0,0,0,0
2026-05-18T03:18:18Z,5187,21.828,1024,2048,1024,1,1032,26824,25800,26828,25804,0,0,0,0
2026-05-18T03:19:19Z,5249,21.828,1024,2048,1024,1,1044,27124,26100,27128,26104,0,0,0,0
2026-05-18T03:20:20Z,5309,21.828,1024,2048,1024,1,1056,27424,26400,27428,26404,0,0,0,0
2026-05-18T03:21:20Z,5370,21.828,1024,2048,1024,1,1068,27724,26700,27728,26704,0,0,0,0
2026-05-18T03:22:20Z,5430,21.828,1024,2048,1024,1,1080,28024,27000,28028,27004,0,0,0,0
2026-05-18T03:23:21Z,5490,21.828,1024,2048,1024,1,1092,28324,27300,28328,27304,0,0,0,0
2026-05-18T03:24:21Z,5551,21.828,1024,2048,1024,1,1104,28624,27600,28628,27604,0,0,0,0
2026-05-18T03:25:21Z,5611,21.828,1024,2048,1024,1,1116,28924,27900,28928,27904,0,0,0,0
2026-05-18T03:26:22Z,5671,21.828,1024,2048,1024,1,1128,29224,28200,29228,28204,0,0,0,0
2026-05-18T03:27:22Z,5732,21.828,1024,2048,1024,1,1140,29524,28500,29528,28504,0,0,0,0
2026-05-18T03:28:23Z,5792,21.828,1024,2048,1024,1,1152,29824,28800,29828,28804,0,0,0,0
2026-05-18T03:29:23Z,5853,21.828,1024,2048,1024,1,1164,30124,29100,30128,29104,0,0,0,0
2026-05-18T03:30:23Z,5913,21.828,1024,2048,1024,1,1176,30424,29400,30428,29404,0,0,0,0
2026-05-18T03:31:23Z,5973,21.828,1024,2048,1024,1,1188,30724,29700,30728,29704,0,0,0,0
2026-05-18T03:32:23Z,6033,21.828,1024,2048,1024,1,1200,31024,30000,31028,30004,0,0,0,0
2026-05-18T03:33:23Z,6093,21.828,1024,2048,1024,1,1212,31324,30300,31328,30304,0,0,0,0
2026-05-18T03:34:23Z,6153,21.828,1024,2048,1024,1,1224,31624,30600,31628,30604,0,0,0,0
2026-05-18T03:35:23Z,6213,21.828,1024,2048,1024,1,1236,31924,30900,31928,30904,0,0,0,0
2026-05-18T03:36:23Z,6273,21.828,1024,2048,1024,1,1248,32224,31200,32228,31204,0,0,0,0
2026-05-18T03:37:24Z,6333,21.828,1024,2048,1024,1,1260,32524,31500,32528,31504,0,0,0,0
2026-05-18T03:38:24Z,6394,21.828,1024,2048,1024,1,1272,32824,31800,32828,31804,0,0,0,0
2026-05-18T03:39:24Z,6454,21.828,1024,2048,1024,1,1284,33124,32100,33128,32104,0,0,0,0
2026-05-18T03:40:24Z,6514,21.828,1024,2048,1024,1,1296,33424,32400,33428,32404,0,0,0,0
2026-05-18T03:41:24Z,6574,21.828,1024,2048,1024,1,1308,33724,32700,33728,32704,0,0,0,0
2026-05-18T03:42:24Z,6634,21.828,1024,2048,1024,1,1320,34024,33000,34028,33004,0,0,0,0
2026-05-18T03:43:24Z,6694,21.828,1024,2048,1024,1,1332,34324,33300,34328,33304,0,0,0,0
2026-05-18T03:44:24Z,6754,21.828,1024,2048,1024,1,1344,34624,33600,34628,33604,0,0,0,0
2026-05-18T03:45:24Z,6814,21.828,1024,2048,1024,1,1356,34924,33900,34928,33904,0,0,0,0
2026-05-18T03:46:25Z,6874,21.828,1024,2048,1024,1,1368,35224,34200,35228,34204,0,0,0,0
2026-05-18T03:47:25Z,6935,21.828,1024,2048,1024,1,1380,35524,34500,35528,34504,0,0,0,0
2026-05-18T03:48:25Z,6995,21.828,1024,2048,1024,1,1392,35824,34800,35828,34804,0,0,0,0
2026-05-18T03:49:26Z,7055,21.828,1024,2048,1024,1,1404,36124,35100,36128,35104,0,0,0,0
2026-05-18T03:50:26Z,7116,21.828,1024,2048,1024,1,1416,36424,35400,36428,35404,0,0,0,0
2026-05-18T03:51:26Z,7176,21.828,1024,2048,1024,1,1428,36724,35700,36728,35704,0,0,0,0
2026-05-18T03:52:26Z,7236,21.828,1024,2048,1024,1,1440,37024,36000,37028,36004,0,0,0,0
2026-05-18T03:53:26Z,7296,21.828,1024,2048,1024,1,1452,37324,36300,37329,36304,0,0,0,0
2026-05-18T03:54:27Z,7356,21.828,1024,2048,1024,1,1464,37624,36600,37629,36604,0,0,0,0
2026-05-18T03:55:27Z,7416,21.828,1024,2048,1024,1,1476,37924,36900,37929,36904,0,0,0,0
2026-05-18T03:56:27Z,7476,21.828,1024,2048,1024,1,1488,38224,37200,38229,37204,0,0,0,0
2026-05-18T03:57:27Z,7537,21.828,1024,2048,1024,1,1500,38524,37500,38529,37504,0,0,0,0
2026-05-18T03:58:27Z,7597,21.828,1024,2048,1024,1,1512,38824,37800,38829,37805,0,0,0,0
2026-05-18T03:59:27Z,7657,21.828,1024,2048,1024,1,1524,39124,38100,39129,38105,0,0,0,0
2026-05-18T04:00:27Z,7717,21.828,1024,2048,1024,1,1536,39424,38400,39429,38405,0,0,0,0
2026-05-18T04:01:28Z,7777,21.828,1024,2048,1024,1,1548,39724,38700,39729,38705,0,0,0,0
2026-05-18T04:02:28Z,7837,21.828,1024,2048,1024,1,1560,40024,39000,40029,39005,0,0,0,0
2026-05-18T04:03:27Z,7897,21.828,1024,2048,1024,1,1572,40324,39300,40329,39305,0,0,0,0
2026-05-18T04:04:28Z,7958,21.828,1024,2048,1024,1,1584,40624,39600,40629,39605,0,0,0,0
2026-05-18T04:05:29Z,8018,21.828,1024,2048,1024,1,1596,40924,39900,40929,39905,0,0,0,0
2026-05-18T04:06:29Z,8079,21.828,1024,2048,1024,1,1608,41224,40200,41229,40205,0,0,0,0
2026-05-18T04:07:29Z,8139,21.828,1024,2048,1024,1,1620,41524,40500,41529,40505,0,0,0,0
2026-05-18T04:08:29Z,8199,21.828,1024,2048,1024,1,1632,41824,40800,41829,40805,0,0,0,0
2026-05-18T04:09:30Z,8259,21.828,1024,2048,1024,1,1644,42124,41100,42129,41105,0,0,0,0
2026-05-18T04:10:30Z,8320,21.828,1024,2048,1024,1,1656,42424,41400,42429,41405,0,0,0,0
2026-05-18T04:11:30Z,8380,21.828,1024,2048,1024,1,1668,42724,41700,42729,41705,0,0,0,0
2026-05-18T04:12:30Z,8440,21.828,1024,2048,1024,1,1680,43024,42000,43029,42005,0,0,0,0
2026-05-18T04:13:30Z,8500,21.828,1024,2048,1024,1,1692,43324,42300,43329,42305,0,0,0,0
2026-05-18T04:14:30Z,8560,21.828,1024,2048,1024,1,1704,43624,42600,43629,42605,0,0,0,0
2026-05-18T04:15:30Z,8620,21.828,1024,2048,1024,1,1716,43924,42900,43929,42905,0,0,0,0
2026-05-18T04:16:31Z,8680,21.828,1024,2048,1024,1,1728,44224,43200,44229,43205,0,0,0,0
2026-05-18T04:17:31Z,8740,22.449,1024,2048,1024,1,1740,44524,43500,44529,43505,0,0,0,0
