campaign	peers	attempt	order	base_median_ns	head_median_ns	delta_percent	base_ci_low_ns	base_ci_high_ns	head_ci_low_ns	head_ci_high_ns
same_sha	256	3	base-head	1069975.937984496122226	1077786.460755813866854	0.729971814696162	1067817.686369508970529	1076511.225913621252403	1075621.935215946752578	1082145.720930232666433
same_sha	256	4	head-base	1071751.435215946752578	1072699.694940476212651	0.088477579163526	1068995.832558139692992	1079574.372093023266643	1067329.283333333209157	1078920.361111111007631
same_sha	256	5	base-head	1086637.019345238106325	1054358.040697674266994	-2.970539202411293	1079830.673469387693331	1090453.714285714318976	1051719.290697674499825	1059640.288372093113139
same_sha	256	6	head-base	1084284.363095237873495	1057909.857235142029822	-2.432434401692030	1081491.102976190391928	1086772.887755102012306	1055714.260174418566748	1064711.674418604699895
same_sha	1000	1	base-head	4352242.060606060549617	4198856.537878787145019	-3.524287495762912	4338806.000000000000000	4374539.863636363297701	4190851.054545454680920	4225921.545454544946551
same_sha	1000	2	head-base	4231933.670454544946551	4195078.750000000000000	-0.870876609240112	4198075.727272727526724	4254876.500000000000000	4177818.329545454587787	4201650.435714285820723
same_sha	1000	3	base-head	4237283.638257576152682	4275582.854545454494655	0.903862463727534	4216175.961038961075246	4254264.762626262381673	4250292.246753246523440	4303095.349999999627471
same_sha	1000	4	head-base	4238667.697474747896194	4262610.301136363297701	0.564861540711936	4224933.462121212854981	4242293.376623377203941	4252515.595454545691609	4279950.336363635957241
same_sha	1000	5	base-head	4280188.621212121099234	4177801.038636363577098	-2.392127815777478	4265173.969696969725192	4307849.136363636702299	4151737.303030303213745	4231678.556818181648850
same_sha	1000	6	head-base	4315908.715909090824425	4200393.251515151932836	-2.676503883600023	4281855.547979798167944	4343491.000000000000000	4158644.393939394038171	4232767.363636363297701
before_after	1	1	base-head	30761.274406828702922	28611.716168941980868	-6.987871209294050	30677.057725694445253	30951.651258680554747	28464.269679424673086	28913.209470989761030
before_after	1	2	head-base	30784.993548387097690	29052.740376297577313	-5.626940182289819	30647.302625205851655	30864.446942334037885	28786.184256055363221	29344.041858900425723
before_after	1	3	base-head	30711.917728395063023	28897.106675170067319	-5.909142728482530	30628.624936507934763	30940.981022222222236	28587.668707482993341	29033.370535714286234
before_after	1	4	head-base	31260.952797548437957	28983.903894170747662	-7.284003523898552	31187.740118200305005	31287.723828588375909	28776.028089887640817	29082.520181503889035
before_after	1	5	base-head	31338.499563318779110	28975.352858293073950	-7.540714258674120	31096.026977195535437	31431.534570596799313	28588.399722932652367	29143.258165875042323
before_after	1	6	head-base	30772.335521785404126	29358.359330120936647	-4.594958971064889	30469.775343266141135	31001.250754698608944	29240.328939909297333	29523.435742630383174
before_after	8	1	base-head	58685.700282087447704	43690.165144836268155	-25.552281160779199	58206.320169252467167	58876.931493048556149	43079.988287153653800	43933.677791771624470
before_after	8	2	head-base	57777.501065340911737	42979.868529040402791	-25.611409741597825	57618.905303030303912	58349.547230113632395	42473.891955266954028	43889.565656565653626
before_after	8	3	base-head	58097.207763532758690	43428.507249999995111	-25.248546493382783	57732.821733821736416	58719.772435897437390	43135.746979166666279	43886.894062500003201
before_after	8	4	head-base	58211.961345880685258	43325.357411722528923	-25.573101455396319	57946.232007575759781	58804.395596590911737	42827.759974905900890	43711.912484316184418
before_after	8	5	base-head	58532.541607481063693	43623.698412698409811	-25.471033352286810	58207.987215909088263	59070.692866161618440	43308.570175438595470	44154.466635338350898
before_after	8	6	head-base	58336.066583806823473	43754.584927588053688	-24.995654506926179	58189.662484217173187	58836.793039772725024	43185.693158114307153	44463.257709289391642
before_after	64	1	base-head	282000.403726708085742	164739.474583333329065	-41.581830236319284	280980.767524401075207	282887.274534161493648	163646.605444444459863	165633.339999999996508
before_after	64	2	head-base	281216.859062499948777	163507.663861386128701	-41.857090500734586	280910.001934523810633	282422.612499999988358	163017.959845984587446	165254.047029702982400
before_after	64	3	base-head	281281.920729166711681	164323.670197044324595	-41.580436534609724	280626.349756944458932	282394.789583333360497	163943.697865353024099	164629.657635467970977
before_after	64	4	head-base	281755.282031249953434	163449.554455445555504	-41.988823323171246	280897.510729166679084	282325.451388888875954	162584.534653465350857	164911.439150165009778
before_after	64	5	base-head	283161.088611859828234	164848.705147058819421	-41.782712464061930	282278.500000000000000	284055.331105870020110	164491.546568627469242	165563.977941176475724
before_after	64	6	head-base	281201.696409853291698	164039.655330882349517	-41.664770367603509	280170.494758909859229	284329.383647798735183	163481.570922813552897	165210.254901960783172
before_after	256	1	base-head	1065115.379941860446706	595325.510909090982750	-44.106946334622741	1061092.434108527144417	1071771.937984496122226	592598.447330447379500	600182.027272727224045
before_after	256	2	head-base	1063987.525193798355758	594577.302469135727733	-44.118019394932531	1059058.051162790739909	1067910.973837209399790	588670.228703703731298	600510.320987654267810
before_after	256	3	base-head	1063807.021317829377949	594307.221590909175575	-44.133925638628554	1058566.743023255839944	1068180.511627906933427	588209.481818181811832	598455.667099567130208
before_after	256	4	head-base	1065816.554263565922156	592403.900126262567937	-44.417836469467431	1060092.847545219585299	1069919.027906976640224	589428.855909090954810	596735.909090909059159
before_after	256	5	base-head	1073073.936877076514065	599682.225974025903270	-44.115479337867733	1064762.529715762240812	1075794.210271317977458	594875.971919191884808	605814.551515151513740
before_after	256	6	head-base	1062144.378737541381270	596437.076406926382333	-43.845950856902526	1059061.926356589188799	1064318.976744186133146	588753.387272727326490	600897.222727272775955
before_after	1000	1	base-head	4212964.272727272473276	2391709.923076923005283	-43.229760134456498	4196511.018181817606091	4235392.665151515044272	2380689.108974358998239	2415790.353846153710037
before_after	1000	2	head-base	4208061.288961038924754	2396933.349816849920899	-43.039485757854834	4191950.469696969725192	4224527.798989899456501	2382694.807692307513207	2433012.572649572975934
before_after	1000	3	base-head	4198202.568181818351150	2419716.801709401421249	-42.363028881730536	4181063.909090909175575	4226570.397727272473276	2378873.711538461502641	2434874.176510988734663
before_after	1000	4	head-base	4203101.370129870250821	2392906.673076923005283	-43.068071351251149	4187602.030303030274808	4215055.020202020183206	2379525.294871794991195	2424873.290598290506750
before_after	1000	5	base-head	4211576.323051948100328	2396863.523076923098415	-43.088683684592013	4190816.181818181648850	4236804.090909090824425	2375248.723076923284680	2414920.424297924153507
before_after	1000	6	head-base	4203265.740259740501642	2398414.590598290786147	-42.939258690551384	4179511.772727272938937	4225644.754545454867184	2362491.910256410017610	2421458.932692307978868
