name,target,version,peers,prefixes per peer,required,received,monitor (s),elapsed (s),prefix received (s),testers (s),total time,max cpu %,max mem (GB),min idle%,min free mem (GB),flags,date,cores,Mem (GB),tester errors,tester timeouts,failed,MSG,filters,max foreign cpu %,target image,tester version,monitor version,source_file
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,100,1000,99000,100000,1,7,5,2,17.06,25,0.151,97,105.909,,2026-08-30,64,125.29GB,0,0,,,,7,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r03-s03-100x1000-02-frr_c.csv
BIRD 2.19.2,bird,2.19.2,100,1000,99000,100000,0,5,1,4,13.85,101,0.032,88,106.082,,2026-08-30,64,125.29GB,0,0,,,,7,bgperf/bird:2.19.2,2.19.2,4.8.0,r03-s03-100x1000-03-bird.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,100,1000,99000,100000,0,3,1,2,11.86,119,0.284,95,105.645,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/rustbgpd:latest,2.19.2,4.8.0,r03-s03-100x1000-04-rustbgpd.csv
GoBGP 4.8.0,gobgp,4.8.0,10,1000,9900,10000,1,4,1,3,11.37,154,0.109,96,106.089,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r03-s04-10x1000-01-gobgp.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,10,1000,9900,10000,1,3,2,1,10.35,5,0.031,99,106.208,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r03-s04-10x1000-02-frr_c.csv
BIRD 2.19.2,bird,2.19.2,10,1000,9900,10000,1,2,1,1,9.25,3,0.01,99,106.246,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/bird:2.19.2,2.19.2,4.8.0,r03-s04-10x1000-03-bird.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,10,1000,9900,10000,0,2,1,1,8.26,6,0.028,99,106.207,,2026-08-30,64,125.29GB,0,0,,,,8,bgperf/rustbgpd:latest,2.19.2,4.8.0,r03-s04-10x1000-04-rustbgpd.csv
GoBGP 4.8.0,gobgp,4.8.0,2,10000,19800,20000,1,3,1,2,10.39,101,0.074,98,106.175,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r03-s05-2x10000-01-gobgp.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,10000,19800,20000,0,3,2,1,9.32,6,0.041,99,106.231,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r03-s05-2x10000-02-frr_c.csv
BIRD 2.19.2,bird,2.19.2,2,10000,19800,20000,1,3,1,2,10.3,1,0.009,99,106.244,,2026-08-30,64,125.29GB,0,0,,,,6,bgperf/bird:2.19.2,2.19.2,4.8.0,r03-s05-2x10000-03-bird.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,2,10000,19800,20000,0,2,1,1,8.24,7,0.038,99,106.214,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/rustbgpd:latest,2.19.2,4.8.0,r03-s05-2x10000-04-rustbgpd.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,30,1000,29700,30000,0,4,3,1,10.92,10,0.057,99,106.117,,2026-08-30,64,125.29GB,0,0,,,,8,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r04-s01-30x1000-01-frr_c.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,30,1000,29700,30000,0,2,1,1,8.82,12,0.062,99,106.14,,2026-08-30,64,125.29GB,0,0,,,,6,bgperf/rustbgpd:latest,2.19.2,4.8.0,r04-s01-30x1000-02-rustbgpd.csv
GoBGP 4.8.0,gobgp,4.8.0,30,1000,29700,30000,0,4,1,3,10.99,1346,0.567,73,105.617,,2026-08-30,64,125.29GB,0,0,,,,7,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r04-s01-30x1000-03-gobgp.csv
BIRD 2.19.2,bird,2.19.2,30,1000,29700,30000,0,3,1,2,9.81,16,0.012,98,106.152,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/bird:2.19.2,2.19.2,4.8.0,r04-s01-30x1000-04-bird.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,100,1000,99000,100000,1,7,5,2,17.02,24,0.149,97,105.911,,2026-08-30,64,125.29GB,0,0,,,,7,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r04-s02-100x1000-01-frr_c.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,100,1000,99000,100000,0,3,1,2,11.96,120,0.257,95,105.715,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/rustbgpd:latest,2.19.2,4.8.0,r04-s02-100x1000-02-rustbgpd.csv
GoBGP 4.8.0,gobgp,4.8.0,100,1000,99000,100000,0,16,1,15,24.76,2236,4.591,54,101.368,,2026-08-30,64,125.29GB,0,0,,,,7,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r04-s02-100x1000-03-gobgp.csv
BIRD 2.19.2,bird,2.19.2,100,1000,99000,100000,0,5,1,4,13.9,100,0.032,86,105.977,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/bird:2.19.2,2.19.2,4.8.0,r04-s02-100x1000-04-bird.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,10,1000,9900,10000,1,3,2,1,10.31,5,0.029,99,106.134,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r04-s03-10x1000-01-frr_c.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,10,1000,9900,10000,0,2,1,1,8.22,6,0.029,99,106.192,,2026-08-30,64,125.29GB,0,0,,,,6,bgperf/rustbgpd:latest,2.19.2,4.8.0,r04-s03-10x1000-02-rustbgpd.csv
GoBGP 4.8.0,gobgp,4.8.0,10,1000,9900,10000,1,4,1,3,11.35,127,0.108,97,106.175,,2026-08-30,64,125.29GB,0,0,,,,6,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r04-s03-10x1000-03-gobgp.csv
BIRD 2.19.2,bird,2.19.2,10,1000,9900,10000,1,2,1,1,9.21,2,0.008,99,106.239,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/bird:2.19.2,2.19.2,4.8.0,r04-s03-10x1000-04-bird.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,10000,19800,20000,0,3,2,1,9.31,8,0.041,99,106.199,,2026-08-30,64,125.29GB,0,0,,,,7,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r04-s04-2x10000-01-frr_c.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,2,10000,19800,20000,0,2,1,1,8.21,6,0.037,99,106.209,,2026-08-30,64,125.29GB,0,0,,,,6,bgperf/rustbgpd:latest,2.19.2,4.8.0,r04-s04-2x10000-02-rustbgpd.csv
GoBGP 4.8.0,gobgp,4.8.0,2,10000,19800,20000,1,3,1,2,10.39,113,0.077,97,106.193,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r04-s04-2x10000-03-gobgp.csv
BIRD 2.19.2,bird,2.19.2,2,10000,19800,20000,1,2,1,1,9.34,1,0.009,99,106.243,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/bird:2.19.2,2.19.2,4.8.0,r04-s04-2x10000-04-bird.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,100000,198000,200000,1,4,1,3,14.56,76,0.256,94,105.76,,2026-08-30,64,125.29GB,0,0,,,,6,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r04-s05-2x100000-01-frr_c.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,2,100000,198000,200000,0,3,1,2,12.55,39,0.201,94,105.756,,2026-08-30,64,125.29GB,0,0,,,,6,bgperf/rustbgpd:latest,2.19.2,4.8.0,r04-s05-2x100000-02-rustbgpd.csv
GoBGP 4.8.0,gobgp,4.8.0,2,100000,198000,200000,1,4,1,3,14.57,782,0.381,81,105.591,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r04-s05-2x100000-03-gobgp.csv
BIRD 2.19.2,bird,2.19.2,2,100000,198000,200000,1,3,1,2,13.47,6,0.027,94,105.934,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/bird:2.19.2,2.19.2,4.8.0,r04-s05-2x100000-04-bird.csv
