phase,arm,run,metric,round,value,unit
matrix-s2,v0.72.0,2,reload_completion_p50,1,1.63,s
matrix-s2,v0.72.0,2,reload_completion_p50,2,1.58,s
matrix-s2,v0.72.0,2,reload_completion_p50,3,1.55,s
matrix-s2,v0.72.0,2,reload_completion_p50,4,1.50,s
matrix-s2,v0.72.0,2,reload_changed_maxgap_p50,1,476.82,ms
matrix-s2,v0.72.0,2,reload_changed_maxgap_p50,2,645.66,ms
matrix-s2,v0.72.0,2,reload_changed_maxgap_p50,3,636.93,ms
matrix-s2,v0.72.0,2,reload_changed_maxgap_p50,4,609.91,ms
matrix-s2,v0.72.0,2,settled_rss_last_sample,,394592,KiB
matrix-s2,v0.72.0,2,peak_rss_sample,,508508,KiB
matrix-s2,v0.72.0,2,daemon_vmhwm,,619468,KiB
matrix-s3,v0.72.0,2,established,1,0.7,s
matrix-s3,v0.72.0,2,cold_convergence,1,3.6,s
matrix-s3,v0.72.0,2,flap_withdraw_p50,1,0.26,s
matrix-s3,v0.72.0,2,flap_withdraw_p50,2,0.41,s
matrix-s3,v0.72.0,2,flap_withdraw_p50,3,0.34,s
matrix-s3,v0.72.0,2,flap_reannounce_p50,1,0.50,s
matrix-s3,v0.72.0,2,flap_reannounce_p50,2,0.52,s
matrix-s3,v0.72.0,2,flap_reannounce_p50,3,0.55,s
matrix-s3,v0.72.0,2,flap_first_reannounce_p50,1,0.32,s
matrix-s3,v0.72.0,2,flap_first_reannounce_p50,2,0.32,s
matrix-s3,v0.72.0,2,flap_first_reannounce_p50,3,0.34,s
matrix-s3,v0.72.0,2,flap_post_round_rss,1,404,MiB
matrix-s3,v0.72.0,2,flap_post_round_rss,2,426,MiB
matrix-s3,v0.72.0,2,flap_post_round_rss,3,401,MiB
matrix-s3,v0.72.0,2,settled_rss_last_sample,,606784,KiB
matrix-s3,v0.72.0,2,peak_rss_sample,,634184,KiB
matrix-s3,v0.72.0,2,daemon_vmhwm,,663916,KiB
matrix-s2,v0.72.0,3,established,1,0.7,s
matrix-s2,v0.72.0,3,cold_convergence,1,4.0,s
matrix-s2,v0.72.0,3,reload_completion_p50,1,1.54,s
matrix-s2,v0.72.0,3,reload_completion_p50,2,1.38,s
matrix-s2,v0.72.0,3,reload_completion_p50,3,1.37,s
matrix-s2,v0.72.0,3,reload_completion_p50,4,1.39,s
matrix-s2,v0.72.0,3,reload_changed_maxgap_p50,1,467.68,ms
matrix-s2,v0.72.0,3,reload_changed_maxgap_p50,2,456.79,ms
matrix-s2,v0.72.0,3,reload_changed_maxgap_p50,3,467.36,ms
matrix-s2,v0.72.0,3,reload_changed_maxgap_p50,4,493.42,ms
matrix-s2,v0.72.0,3,settled_rss_last_sample,,392728,KiB
matrix-s2,v0.72.0,3,peak_rss_sample,,499268,KiB
matrix-s2,v0.72.0,3,daemon_vmhwm,,625452,KiB
matrix-s3,v0.72.0,3,established,1,0.7,s
matrix-s3,v0.72.0,3,cold_convergence,1,3.6,s
matrix-s3,v0.72.0,3,flap_withdraw_p50,1,0.37,s
matrix-s3,v0.72.0,3,flap_withdraw_p50,2,0.34,s
matrix-s3,v0.72.0,3,flap_withdraw_p50,3,0.38,s
matrix-s3,v0.72.0,3,flap_reannounce_p50,1,0.53,s
matrix-s3,v0.72.0,3,flap_reannounce_p50,2,0.48,s
matrix-s3,v0.72.0,3,flap_reannounce_p50,3,0.50,s
matrix-s3,v0.72.0,3,flap_first_reannounce_p50,1,0.33,s
matrix-s3,v0.72.0,3,flap_first_reannounce_p50,2,0.31,s
matrix-s3,v0.72.0,3,flap_first_reannounce_p50,3,0.32,s
matrix-s3,v0.72.0,3,flap_post_round_rss,1,406,MiB
matrix-s3,v0.72.0,3,flap_post_round_rss,2,409,MiB
matrix-s3,v0.72.0,3,flap_post_round_rss,3,412,MiB
matrix-s3,v0.72.0,3,settled_rss_last_sample,,621376,KiB
matrix-s3,v0.72.0,3,peak_rss_sample,,621376,KiB
matrix-s3,v0.72.0,3,daemon_vmhwm,,671812,KiB
irr-ov0,main-33f8e7142,1,completion_p50,1,1.292244,s
irr-ov0,main-33f8e7142,1,changed_maxgap_p50,1,506.485,ms
irr-ov0,main-33f8e7142,1,completion_p50,2,1.257142,s
irr-ov0,main-33f8e7142,1,changed_maxgap_p50,2,537.343,ms
irr-ov0,main-33f8e7142,1,completion_p50,3,1.261214,s
irr-ov0,main-33f8e7142,1,changed_maxgap_p50,3,534.107,ms
irr-ov0,main-33f8e7142,1,completion_p50,4,1.209790,s
irr-ov0,main-33f8e7142,1,changed_maxgap_p50,4,504.599,ms
irr-ov0,main-33f8e7142,1,peak_rss_sample,,676324,KiB
irr-ov0,main-33f8e7142,2,completion_p50,1,1.286929,s
irr-ov0,main-33f8e7142,2,changed_maxgap_p50,1,500.894,ms
irr-ov0,main-33f8e7142,2,completion_p50,2,1.287234,s
irr-ov0,main-33f8e7142,2,changed_maxgap_p50,2,510.972,ms
irr-ov0,main-33f8e7142,2,completion_p50,3,1.267338,s
irr-ov0,main-33f8e7142,2,changed_maxgap_p50,3,539.084,ms
irr-ov0,main-33f8e7142,2,completion_p50,4,1.245593,s
irr-ov0,main-33f8e7142,2,changed_maxgap_p50,4,558.692,ms
irr-ov0,main-33f8e7142,2,peak_rss_sample,,673400,KiB
irr-ov0,main-33f8e7142,3,completion_p50,1,1.315869,s
irr-ov0,main-33f8e7142,3,changed_maxgap_p50,1,508.301,ms
irr-ov0,main-33f8e7142,3,completion_p50,2,1.268182,s
irr-ov0,main-33f8e7142,3,changed_maxgap_p50,2,508.272,ms
irr-ov0,main-33f8e7142,3,completion_p50,3,1.245139,s
irr-ov0,main-33f8e7142,3,changed_maxgap_p50,3,493.993,ms
irr-ov0,main-33f8e7142,3,completion_p50,4,1.265721,s
irr-ov0,main-33f8e7142,3,changed_maxgap_p50,4,514.253,ms
irr-ov0,main-33f8e7142,3,peak_rss_sample,,680160,KiB
irr-ov0,v0.72.0,1,completion_p50,1,1.299207,s
irr-ov0,v0.72.0,1,changed_maxgap_p50,1,508.182,ms
irr-ov0,v0.72.0,1,completion_p50,2,1.274523,s
irr-ov0,v0.72.0,1,changed_maxgap_p50,2,505.737,ms
irr-ov0,v0.72.0,1,completion_p50,3,1.244275,s
irr-ov0,v0.72.0,1,changed_maxgap_p50,3,516.914,ms
irr-ov0,v0.72.0,1,completion_p50,4,1.293857,s
irr-ov0,v0.72.0,1,changed_maxgap_p50,4,560.036,ms
irr-ov0,v0.72.0,1,peak_rss_sample,,691812,KiB
irr-ov0,v0.72.0,2,completion_p50,1,1.344516,s
irr-ov0,v0.72.0,2,changed_maxgap_p50,1,505.511,ms
irr-ov0,v0.72.0,2,completion_p50,2,1.281197,s
irr-ov0,v0.72.0,2,changed_maxgap_p50,2,548.790,ms
irr-ov0,v0.72.0,2,completion_p50,3,1.238842,s
irr-ov0,v0.72.0,2,changed_maxgap_p50,3,588.974,ms
irr-ov0,v0.72.0,2,completion_p50,4,1.283393,s
irr-ov0,v0.72.0,2,changed_maxgap_p50,4,561.183,ms
irr-ov0,v0.72.0,2,peak_rss_sample,,701468,KiB
irr-ov0,v0.72.0,3,completion_p50,1,1.437796,s
irr-ov0,v0.72.0,3,changed_maxgap_p50,1,520.011,ms
irr-ov0,v0.72.0,3,completion_p50,2,1.222781,s
irr-ov0,v0.72.0,3,changed_maxgap_p50,2,500.511,ms
irr-ov0,v0.72.0,3,completion_p50,3,1.284601,s
irr-ov0,v0.72.0,3,changed_maxgap_p50,3,592.052,ms
irr-ov0,v0.72.0,3,completion_p50,4,1.273284,s
irr-ov0,v0.72.0,3,changed_maxgap_p50,4,571.353,ms
irr-ov0,v0.72.0,3,peak_rss_sample,,666944,KiB
rr1000,main-33f8e7142,c1r1,injection_ms,,34,ms
rr1000,main-33f8e7142,c1r1,staged_ms,,303,ms
rr1000,main-33f8e7142,c1r1,wire_ms,,349,ms
rr1000,main-33f8e7142,c1r1,wire_vmrss,,420564,KiB
rr1000,main-33f8e7142,c1r1,wire_vmhwm,,420564,KiB
rr1000,main-33f8e7142,c1r2,injection_ms,,32,ms
rr1000,main-33f8e7142,c1r2,staged_ms,,315,ms
rr1000,main-33f8e7142,c1r2,wire_ms,,347,ms
rr1000,main-33f8e7142,c1r2,wire_vmrss,,405280,KiB
rr1000,main-33f8e7142,c1r2,wire_vmhwm,,405280,KiB
rr1000,main-33f8e7142,c1r3,injection_ms,,33,ms
rr1000,main-33f8e7142,c1r3,staged_ms,,302,ms
rr1000,main-33f8e7142,c1r3,wire_ms,,344,ms
rr1000,main-33f8e7142,c1r3,wire_vmrss,,392244,KiB
rr1000,main-33f8e7142,c1r3,wire_vmhwm,,392244,KiB
rr1000,main-33f8e7142,c2r1,injection_ms,,39,ms
rr1000,main-33f8e7142,c2r1,staged_ms,,313,ms
rr1000,main-33f8e7142,c2r1,wire_ms,,349,ms
rr1000,main-33f8e7142,c2r1,wire_vmrss,,388516,KiB
rr1000,main-33f8e7142,c2r1,wire_vmhwm,,402952,KiB
rr1000,main-33f8e7142,c2r2,injection_ms,,35,ms
rr1000,main-33f8e7142,c2r2,staged_ms,,313,ms
rr1000,main-33f8e7142,c2r2,wire_ms,,344,ms
rr1000,main-33f8e7142,c2r2,wire_vmrss,,413932,KiB
rr1000,main-33f8e7142,c2r2,wire_vmhwm,,413932,KiB
rr1000,main-33f8e7142,c2r3,injection_ms,,35,ms
rr1000,main-33f8e7142,c2r3,staged_ms,,310,ms
rr1000,main-33f8e7142,c2r3,wire_ms,,343,ms
rr1000,main-33f8e7142,c2r3,wire_vmrss,,409136,KiB
rr1000,main-33f8e7142,c2r3,wire_vmhwm,,409136,KiB
rr1000,v0.72.0,c1r1,injection_ms,,35,ms
rr1000,v0.72.0,c1r1,staged_ms,,298,ms
rr1000,v0.72.0,c1r1,wire_ms,,334,ms
rr1000,v0.72.0,c1r1,wire_vmrss,,382772,KiB
rr1000,v0.72.0,c1r1,wire_vmhwm,,382772,KiB
rr1000,v0.72.0,c1r2,injection_ms,,34,ms
rr1000,v0.72.0,c1r2,staged_ms,,317,ms
rr1000,v0.72.0,c1r2,wire_ms,,351,ms
rr1000,v0.72.0,c1r2,wire_vmrss,,411892,KiB
